,Network,User,Date,Text,Positive,Neutral,Negative,Compound
0,@CNN,MoRe,Wed Nov 01 04:01:52 +0000 2017,"@CNN Of course, no surprise, it's his nature.",0.204,0.583,0.214,-0.0258
1,@CNN,Evolutionology,Wed Nov 01 04:01:52 +0000 2017,"How EVOLVED are your views on Religion? Take the QUIZ and find out:
https://t.co/RpjEclehMY
@CNN @Foxnews https://t.co/tRA2DATuOm",0.0,1.0,0.0,0.0
2,@CNN,((BewareBelievers?)),Wed Nov 01 04:01:51 +0000 2017,"RT @Michell43913024: @CNN @mkraju Sarah Slanders tomorrow: ""The prez has been clear, HRC and BO and the Dems paid for Manafort's fake name¡­",0.097,0.787,0.116,-0.128
3,@CNN,DR,Wed Nov 01 04:01:50 +0000 2017,Horrified by ISIL influence in attack in NY. Are we horrified by alt-reality of trump admin? Fox? Same @nytimes @washingtonpost @cnn @msnbc,0.0,0.645,0.355,-0.8875
4,@CNN,shane benya,Wed Nov 01 04:01:50 +0000 2017,"RT @CNN: Former National Security Council employee: Russian President Vladimir Putin is engaging in ""information warfare"" https://t.co/TYgu¡­",0.229,0.667,0.105,0.3818
5,@CNN,Wendy Yandle,Wed Nov 01 04:01:49 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
6,@CNN,Jack H Peripter,Wed Nov 01 04:01:48 +0000 2017,RT @CNN: US Supreme Court Justice Ruth Bader Ginsburg maintains she's not retiring https://t.co/Hj34AAJoNb https://t.co/hd8ALQlelT,0.35,0.65,0.0,0.7906
7,@CNN,C G G,Wed Nov 01 04:01:47 +0000 2017,RT @CNN: Fact check: Team Trump uses misinformation and inaccuracies in responding to the Mueller probe https://t.co/sYlRgEu376 https://t.c¡­,0.0,0.881,0.119,-0.3182
8,@CNN,M Mahathy,Wed Nov 01 04:01:45 +0000 2017,RT @LauraLoomer: This is why I shut @andersoncooper down tonight with fellow anti-#FakeNews New Yorkers. @CNN will never disavow Islamic te¡­,0.0,1.0,0.0,0.0
9,@CNN,Mark Wheatley,Wed Nov 01 04:01:45 +0000 2017,"RT @WalshFreedom: @CNN is lying again. They keep putting up on the screen that the terrorist yelled ""God is great!""

No. He yelled ""Allah A¡­",0.062,0.623,0.314,-0.8588
10,@CNN,Huh,Wed Nov 01 04:01:44 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
11,@CNN,Oda Mae Brown,Wed Nov 01 04:01:43 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
12,@CNN,Judith,Wed Nov 01 04:01:42 +0000 2017,"@CNN Now hear this. I watch news, but... https://t.co/WExijNtS5E",0.0,1.0,0.0,0.0
13,@CNN,harleygrl,Wed Nov 01 04:01:39 +0000 2017,RT @DrJaneRuby: Tonight @LauraLoomer did what many of us have dreamed of since the election: She called out #FakeNews @CNN @andersoncooper¡­,0.0,1.0,0.0,0.0
14,@CNN,Moshe Francis,Wed Nov 01 04:01:37 +0000 2017,@CNN  https://t.co/IR43igzzIB,0.0,1.0,0.0,0.0
15,@CNN,William Wallace,Wed Nov 01 04:01:36 +0000 2017,@CNN FACT CHECK: CNN HATES DONALD TRUMP!!!!!,0.0,0.596,0.404,-0.6209
16,@CNN,Ako660,Wed Nov 01 04:01:36 +0000 2017,"RT @Ramesh_hjs: #ManhattanAttack
????? '??????? ????' ????????,
??
@CNN ?? ?? ?????? ????? - '??? ?? ?????'
..???? ???? ????????? !
@hstapa¡­",0.0,1.0,0.0,0.0
17,@CNN,Stacey Bryant,Wed Nov 01 04:01:35 +0000 2017,@CNN Criminal,0.0,0.227,0.773,-0.5267
18,@CNN,Impeach__Now,Wed Nov 01 04:01:34 +0000 2017,"RT @CNN: Former National Security Council employee: Russian President Vladimir Putin is engaging in ""information warfare"" https://t.co/TYgu¡­",0.229,0.667,0.105,0.3818
19,@CNN,America Matters!??,Wed Nov 01 04:01:34 +0000 2017,"RT @AD_WHITMAN: .@CNN had an opportunity to correct ""truck attack"" to ""terrorist"" in the reply tweet to themselves correcting ""Truck attack¡­",0.112,0.763,0.124,-0.0772
20,@CNN,diz,Wed Nov 01 04:01:34 +0000 2017,@CNN Since papodapolous was allegedly caught lying how can Mueller or anyone else believe anything he says? Credibility issue from the start,0.0,0.861,0.139,-0.5267
21,@CNN,Jude,Wed Nov 01 04:01:33 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
22,@CNN,NurseSimone,Wed Nov 01 04:01:33 +0000 2017,@CNN Fact check-Fox beat all of you in October ratings! Because you lie! Fact check-You are connected to Infusion GPS.. crooked and paid for,0.0,1.0,0.0,0.0
23,@CNN,Azmat Shah,Wed Nov 01 04:01:32 +0000 2017,"RT @CNN: Donald Trump Jr. marked Halloween by tweeting he'd redistribute his child's candy to ""teach her about socialism"" https://t.co/2h12¡­",0.0,1.0,0.0,0.0
24,@CNN,Vianey????,Wed Nov 01 04:01:32 +0000 2017,"RT @seanhannity: So @CNN is obsessed with Fox, NOBODY trusts them, nor should they. Thank you ¡°irredeemable deplorable friends!¡± https://t.¡­",0.127,0.695,0.178,0.0819
25,@CNN,Nita Phillips,Wed Nov 01 04:01:30 +0000 2017,"RT @DaveH_RPh: Hey @MSNBC, @CNN, @ABC, @CBS, @nytimes , @washingtonpost- the term LONE WOLF applies to those who act on their own warped ag¡­",0.0,0.886,0.114,-0.4278
26,@CNN,Elan Santos,Wed Nov 01 04:01:29 +0000 2017,"RT @JennJacques: .@CNN -he was NOT yelling ¡°God is great¡±, take that OUT of quotation marks. #DoYourJob @jaketapper @cnnbrk #NYC https://t.¡­",0.0,1.0,0.0,0.0
27,@CNN,?Jimmy 2 Scoops,Wed Nov 01 04:01:29 +0000 2017,RT @WhySoitenly: @seanhannity @sspiciousJulieP @CNN This is CNN https://t.co/Gq7MiuBCyz,0.0,1.0,0.0,0.0
28,@CNN,Alex S.Vasquez,Wed Nov 01 04:01:28 +0000 2017,@LauraLoomer @ShepNewsTeam @FoxNews @CNN Well Shepard Smith is just him.  He doesn't care.  He voices his own perso¡­ https://t.co/zII0cauuE9,0.097,0.782,0.121,-0.1351
29,@CNN,A_Distressed_USA,Wed Nov 01 04:01:27 +0000 2017,@Odawgfan75 @CNN I see common sense isn't your forte. Called working with limited characters.,0.0,0.863,0.137,-0.2263
30,@CNN,Richard Ross,Wed Nov 01 04:01:27 +0000 2017,@SoxsideRepoMan @PweedyTofer @CNN I said most terrorists were muslims. Islam spawns terror.,0.0,0.536,0.464,-0.8313
31,@CNN,Diane Parmigiani,Wed Nov 01 04:01:27 +0000 2017,@CNN How can U trust an EPA that doesn't believe in science? The absurd is becoming absurd!,0.193,0.807,0.0,0.5562
32,@CNN,m,Wed Nov 01 04:01:27 +0000 2017,RT @CernovichNews: This is the left. Will @CNN disavow? https://t.co/uCPqFb1ZHG,0.0,1.0,0.0,0.0
33,@CNN,ehm ??,Wed Nov 01 04:01:26 +0000 2017,"@abcnews @NBCNews @nytimes @washingtonpost @politico @CNN Take some time and look this over, dammit!",0.0,1.0,0.0,0.0
34,@CNN,Alo Mythos,Wed Nov 01 04:01:25 +0000 2017,@Chet_Cannon @MrEdTrain @FoxNews @CNN Fox better than CNNbut sheep Shep went on about how easy it would b to mistak¡­ https://t.co/AmIvZwLx4d,0.244,0.756,0.0,0.7003
35,@CNN,Anna Edlemann,Wed Nov 01 04:01:25 +0000 2017,"RT @WalshFreedom: @CNN is lying again. They keep putting up on the screen that the terrorist yelled ""God is great!""

No. He yelled ""Allah A¡­",0.062,0.623,0.314,-0.8588
36,@CNN,Pamela,Wed Nov 01 04:01:25 +0000 2017,@AndrewWMullins @untwin34 @CNN You get more disgusting every day @CNN @cnnbrk,0.0,0.73,0.27,-0.5709
37,@CNN,jullian cain,Wed Nov 01 04:01:24 +0000 2017,"@astros @HoustonChron @CNN @espn @HoustonTX  Minute should suspend all activities at minute maid park #7 ,that's why were losing,bad Karma",0.0,0.892,0.108,-0.3182
38,@CNN,Pamela Barnes,Wed Nov 01 04:01:24 +0000 2017,@CNN Who is this suspect CNN??? Better start doing your work for change instead of being so politically motivated!!!,0.291,0.613,0.096,0.7265
39,@CNN,brenda kellaway,Wed Nov 01 04:01:23 +0000 2017,@thepondinthebox @CNN @CNNPolitics Yeah still a secondary source! $30 thousand eh! Dems spent what 100 billion stil¡­ https://t.co/RgOgZJxmMx,0.148,0.852,0.0,0.4184
40,@CNN,LadyLiberty,Wed Nov 01 04:01:23 +0000 2017,@CNN Then He Can Absolutely.... https://t.co/YvcALh5HuD,0.0,1.0,0.0,0.0
41,@CNN,Misty Johnson,Wed Nov 01 04:01:22 +0000 2017,"@jewel_patriot @Spokesmanraw @CNN I don't drink, take your meds, cupcake.",0.0,1.0,0.0,0.0
42,@CNN,Jason Ortega,Wed Nov 01 04:01:22 +0000 2017,"RT @WalshFreedom: @CNN is lying again. They keep putting up on the screen that the terrorist yelled ""God is great!""

No. He yelled ""Allah A¡­",0.062,0.623,0.314,-0.8588
43,@CNN,sybil choate,Wed Nov 01 04:01:21 +0000 2017,"@WalshFreedom @CNN It is indicative of ISIS, which was proven. Why does the left defend the killers?",0.0,0.788,0.212,-0.6486
44,@CNN,KimberlySAnderson,Wed Nov 01 04:01:20 +0000 2017,"RT @AndrewWMullins: Are you kidding me, @CNN? https://t.co/UVnlaZXo9A",0.167,0.833,0.0,0.1027
45,@CNN,Your Reading News UK,Wed Nov 01 04:01:19 +0000 2017,"RT @CNN: Former National Security Council employee: Russian President Vladimir Putin is engaging in ""information warfare"" https://t.co/TYgu¡­",0.229,0.667,0.105,0.3818
46,@CNN,Deplorable Erin Hall,Wed Nov 01 04:01:18 +0000 2017,"RT @WalshFreedom: @CNN is lying again. They keep putting up on the screen that the terrorist yelled ""God is great!""

No. He yelled ""Allah A¡­",0.062,0.623,0.314,-0.8588
47,@CNN,Barbara?????,Wed Nov 01 04:01:17 +0000 2017,"RT @seanhannity: So @CNN is obsessed with Fox, NOBODY trusts them, nor should they. Thank you ¡°irredeemable deplorable friends!¡± https://t.¡­",0.127,0.695,0.178,0.0819
48,@CNN,Mary Colton,Wed Nov 01 04:01:17 +0000 2017,RT @CNN: New York's Halloween parade goes on amid heightened security following a deadly truck attack on a bike path https://t.co/7tIYM88pL¡­,0.107,0.756,0.138,-0.1779
49,@CNN,Freedom Lover,Wed Nov 01 04:01:17 +0000 2017,"RT @CNN: NYC truck attack suspect left note at the scene claiming he carried out the attack in the name of ISIS, source says https://t.co/G¡­",0.0,0.724,0.276,-0.8126
50,@CNN,Merilee,Wed Nov 01 04:01:17 +0000 2017,@LawrenceTSmith @CNN trump post lately have been comments from the federalist..a well known false fact news place.,0.116,0.884,0.0,0.2732
51,@CNN,keithG,Wed Nov 01 04:01:16 +0000 2017,"RT @AsraNomani: Hear us @JoyAnnReid @VanJones68 @sallyKohn @msnbc @cnn @BilldeBlasio. 
We are Muslims who OWN UP to our extremism problem.¡­",0.0,1.0,0.0,0.0
52,@CNN,TheMan DownTheHall,Wed Nov 01 04:01:16 +0000 2017,@WilDaBeast_22 @Thizlam87 @AndrewWMullins @CNN No. They are trying to avoid saying or implying the word muslim. Oth¡­ https://t.co/J1dee5PmLW,0.0,0.784,0.216,-0.5267
53,@CNN,lv24rt1,Wed Nov 01 04:01:15 +0000 2017,@CNN Mueller Worked with Radical Islamists to Purge Anti-Terrorism Training Material Offensive to Muslims https://t.co/vMvhUWj7b2,0.0,0.824,0.176,-0.4588
54,@CNN,Helene Williams,Wed Nov 01 04:01:14 +0000 2017,"RT @Patriotic_Va: Yep, nothing to see here folks...@CNN will say don't point fingers maybe they shud wake the hell up, bc we are!  https://¡­",0.076,0.756,0.168,-0.5707
55,@CNN,I am a Real American,Wed Nov 01 04:01:14 +0000 2017,@BreitbartNews thanks to @CNN,0.492,0.508,0.0,0.4404
56,@CNN,Ryan R,Wed Nov 01 04:01:14 +0000 2017,@richardross65 @PweedyTofer @CNN  https://t.co/NAR9w1YwWh,0.0,1.0,0.0,0.0
57,@CNN,Saadaq Cabdullahi,Wed Nov 01 04:01:12 +0000 2017,@ntvkenya @janengoiri @TrevorOmbija We don't need u Githeri biased media.we have @BBCWorld @CNN @AJENews,0.131,0.869,0.0,0.2057
58,@CNN,Bill Hovis,Wed Nov 01 04:01:11 +0000 2017,RT @CNN: Fact check: Team Trump uses misinformation and inaccuracies in responding to the Mueller probe https://t.co/sYlRgEu376 https://t.c¡­,0.0,0.881,0.119,-0.3182
59,@CNN,TAWNEY BENNER,Wed Nov 01 04:01:10 +0000 2017,@CNN  https://t.co/Ms6X7rbKLv,0.0,1.0,0.0,0.0
60,@CNN,JohnnyLegg,Wed Nov 01 04:01:10 +0000 2017,@brandonhull @CNN ??¡á?,0.0,1.0,0.0,0.0
61,@CNN,juandiego salazar,Wed Nov 01 04:01:10 +0000 2017,"@CNN What a hideous brainless fucktard she is, nothing good or positive comes out of her ever! #DumpTrump¡­ https://t.co/gFh3p1XD5u",0.0,0.607,0.393,-0.8665
62,@CNN,Oyateson,Wed Nov 01 04:01:07 +0000 2017,RT @CNN: New York's Halloween parade goes on amid heightened security following a deadly truck attack on a bike path https://t.co/7tIYM88pL¡­,0.107,0.756,0.138,-0.1779
63,@CNN,ehm ??,Wed Nov 01 04:01:07 +0000 2017,@abcnews @nbcnews @nytimes @washingtonpost @politico @CNN,0.0,1.0,0.0,0.0
64,@CNN,Richard Ross,Wed Nov 01 04:01:07 +0000 2017,@SoxsideRepoMan @PweedyTofer @CNN Thats ridiculous,0.0,0.615,0.385,-0.3612
65,@CNN,?deplorable?,Wed Nov 01 04:01:06 +0000 2017,"RT @MediaJuggernaut: CNN: Suspect Was Yelling God Is Great In Arabic.
NO, He Was Yelling ""Allah Akbar"".
Hey @CNN, This Is NOT An Apple, It'¡­",0.192,0.649,0.159,0.2656
66,@CNN,Alberta,Wed Nov 01 04:01:06 +0000 2017,RT @CNN: Fact check: Team Trump uses misinformation and inaccuracies in responding to the Mueller probe https://t.co/sYlRgEu376 https://t.c¡­,0.0,0.881,0.119,-0.3182
67,@CNN,Karwani Nyakairu Jr.,Wed Nov 01 04:01:05 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
68,@CNN,Julie,Wed Nov 01 04:01:04 +0000 2017,Here's a thought @CNN @MSNBC @maddow @Lawrence Why don't you state daily the number of Americans killed by gun violence in America that day,0.042,0.607,0.351,-0.8934
69,@CNN,al-Mu'min,Wed Nov 01 04:01:03 +0000 2017,RT @CNN: Asics wants to build your shoes in the microwave https://t.co/neox3hzBeI https://t.co/Peb2L0hreI,0.0,1.0,0.0,0.0
70,@CNN,Billy,Wed Nov 01 04:01:02 +0000 2017,RT @CNN: Fact check: Team Trump uses misinformation and inaccuracies in responding to the Mueller probe https://t.co/sYlRgEu376 https://t.c¡­,0.0,0.881,0.119,-0.3182
71,@CNN,DukeofEarl53,Wed Nov 01 04:01:02 +0000 2017,"RT @seanhannity: So @CNN is obsessed with Fox, NOBODY trusts them, nor should they. Thank you ¡°irredeemable deplorable friends!¡± https://t.¡­",0.127,0.695,0.178,0.0819
72,@CNN,Luis G. Alvarado,Wed Nov 01 04:01:01 +0000 2017,@CNN So @DonaldJTrumpJr is going as a dick for Halloween. The rest of the year he's a regular asshole like his dad @realDonaldTrump.,0.101,0.766,0.133,-0.2023
73,@CNN,I am Trumps Army,Wed Nov 01 04:01:01 +0000 2017,RT @CernovichNews: This is the left. Will @CNN disavow? https://t.co/uCPqFb1ZHG,0.0,1.0,0.0,0.0
74,@CNN,MoAfrika??,Wed Nov 01 04:01:01 +0000 2017,"RT @MyAfrica_MyLove: @JGvanZyl_ZA @CNN @BBC More women are murdered than farmers. And how many plumbers, electricians died in last 24hrs? Y¡­",0.0,0.697,0.303,-0.8505
75,@CNN,General Bipin Rawat,Wed Nov 01 04:01:00 +0000 2017,"RT @Ramesh_hjs: #ManhattanAttack
????? '??????? ????' ????????,
??
@CNN ?? ?? ?????? ????? - '??? ?? ?????'
..???? ???? ????????? !
@hstapa¡­",0.0,1.0,0.0,0.0
76,@CNN,Hugh Jorgen,Wed Nov 01 04:00:59 +0000 2017,RT @DrJaneRuby: Tonight @LauraLoomer did what many of us have dreamed of since the election: She called out #FakeNews @CNN @andersoncooper¡­,0.0,1.0,0.0,0.0
77,@CNN,larry musall,Wed Nov 01 04:00:59 +0000 2017,"@CNN So SAD,CNN Use to be a go to News,Now just a big FLUSH!!?",0.0,1.0,0.0,0.0
78,@CNN,Penny C. Nicholas,Wed Nov 01 04:00:59 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
79,@CNN,L.J.,Wed Nov 01 04:00:59 +0000 2017,@CNN To think that he made his fortune with such lousy tactics. Tells you a lot about the business world and the stupidity of it all.,0.0,0.782,0.218,-0.7506
80,@CNN,Deplorable Rees,Wed Nov 01 04:00:59 +0000 2017,"RT @AD_WHITMAN: .@CNN had an opportunity to correct ""truck attack"" to ""terrorist"" in the reply tweet to themselves correcting ""Truck attack¡­",0.112,0.763,0.124,-0.0772
81,@CNN,Richard Ross,Wed Nov 01 04:00:58 +0000 2017,@SoxsideRepoMan @PweedyTofer @CNN I never said all muslims were terrorists,0.0,0.661,0.339,-0.6249
82,@CNN,Brad,Wed Nov 01 04:00:56 +0000 2017,"RT @AndrewWMullins: Are you kidding me, @CNN? https://t.co/UVnlaZXo9A",0.167,0.833,0.0,0.1027
83,@CNN,Sandra Slufarska,Wed Nov 01 04:00:56 +0000 2017,"RT @seanhannity: So @CNN is obsessed with Fox, NOBODY trusts them, nor should they. Thank you ¡°irredeemable deplorable friends!¡± https://t.¡­",0.127,0.695,0.178,0.0819
84,@CNN,Ben Pattavina,Wed Nov 01 04:00:56 +0000 2017,@GerardoRVS_ @TrustNewsAgain @CNN Hahaaa get disrespected bitch,0.0,0.424,0.576,-0.7783
85,@CNN,#WickedAlwaysWins,Wed Nov 01 04:00:55 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
86,@CNN,De Rigueur Mortis,Wed Nov 01 04:00:55 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
87,@CNN,Phyllis Jones,Wed Nov 01 04:00:54 +0000 2017,RT @sannino2005: @CNN It's getting hot in the trump quarters...Jr should try and keep a low profile cause it looks like the boys in big tro¡­,0.091,0.833,0.076,0.1027
88,@CNN,Silent Wolf,Wed Nov 01 04:00:53 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/¡­",0.0,0.866,0.134,-0.4767
89,@CNN,Vikhyath,Wed Nov 01 04:00:52 +0000 2017,"RT @dinesh_mundli: Our voice for our mother tung. 
We are Always debtor  to Our mother land..
#BlackDayForTulunad 
@CNN @TimesNow @republic",0.0,1.0,0.0,0.0
90,@CNN,Steven,Wed Nov 01 04:00:52 +0000 2017,RT @CNN: Lewis Hamilton crowned the 2017 Formula One world champion -- his fourth title -- despite finishing ninth in Mexico https://t.co/d¡­,0.157,0.843,0.0,0.5994
91,@CNN,Florentina Litra,Wed Nov 01 04:00:52 +0000 2017,RT @CNN: Fact check: Team Trump uses misinformation and inaccuracies in responding to the Mueller probe https://t.co/sYlRgEu376 https://t.c¡­,0.0,0.881,0.119,-0.3182
92,@CNN,Wayde Mccoy,Wed Nov 01 04:00:51 +0000 2017,@CNN  https://t.co/Sm59KcKgax,0.0,1.0,0.0,0.0
93,@CNN,Jay Daws,Wed Nov 01 04:00:50 +0000 2017,@LauraLoomer @ShepNewsTeam @FoxNews @CNN Laura you should take Shephard Smith's lot @Fox. You would be great.,0.215,0.785,0.0,0.6249
94,@CNN,Lena SG,Wed Nov 01 04:00:49 +0000 2017,"@CNN Lies, lies and more lies! https://t.co/dhcGnqWneh",0.0,0.315,0.685,-0.8268
95,@CNN,Michael Medley,Wed Nov 01 04:00:49 +0000 2017,"RT @CNN: Los Angeles Dodgers force a decisive Game 7 in the World Series, winning at home 3-1 against the Houston Astros https://t.co/YXLBR¡­",0.218,0.782,0.0,0.6486
96,@CNN,Lynne T Jones,Wed Nov 01 04:00:49 +0000 2017,RT @drnoir33: @CNN This from a man who has never had to work a day in his life.,0.0,1.0,0.0,0.0
97,@CNN,T Edwards,Wed Nov 01 04:00:48 +0000 2017,@Omri_Ubey @joeymunley9 @CNN Moron,0.0,0.484,0.516,-0.4939
98,@CNN,Eddie Current,Wed Nov 01 04:00:47 +0000 2017,@CNN  https://t.co/16RRvdW3e4,0.0,1.0,0.0,0.0
99,@CNN,Mia Lapro,Wed Nov 01 04:00:47 +0000 2017,"RT @AD_WHITMAN: .@CNN had an opportunity to correct ""truck attack"" to ""terrorist"" in the reply tweet to themselves correcting ""Truck attack¡­",0.112,0.763,0.124,-0.0772
100,@FoxNews,JAMES BOND,Wed Nov 01 04:01:53 +0000 2017,"RT @tamaragitt: .@FoxNews can confirm: NYC attacker is out of the OR. He was shot in the leg, missing all major vessels...no life threateni¡­",0.0,0.789,0.211,-0.7096
101,@FoxNews,Catherine Siena,Wed Nov 01 04:01:53 +0000 2017,RT @FoxNews: BREAKING: President #Trump says he ordered stronger 'extreme vetting program' after NYC terror attack  https://t.co/RPZO6hb4La,0.113,0.606,0.281,-0.5994
102,@FoxNews,Daliyah Lupin,Wed Nov 01 04:01:53 +0000 2017,"RT @FoxNews: One World Trade Center is lit in red, white and blue in honor of ""freedom &amp; democracy"" after today's deadly terror attack in N¡­",0.206,0.613,0.181,0.2263
